Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code
1,SECHQ113D0030,0,0,DO Delivery Order,"$200,720.00 ",23-Sep-13,,5000,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION,S,R499,SUPPORT- PROFESSIONAL: OTHER,541613,MARKETING CONSULTING SERVICES,OAKLAND,CA,946073705,,,E4TGG89HNBJ7,E4TGG89HNBJ7,RENAE GRIFFIN & ASSOCIATES  INC.,"RENAE GRIFFIN & ASSOCIATES, INC.",
1,FA252116D0002,0,0,DO Delivery Order,"$1,292,160.72 ",10-Dec-15,,5700,DEPT OF THE AIR FORCE,FA2521  45 CONS LGC,S,Z2NE,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,HALLANDALE BEACH,FL,330094209,,,UNFZG6Z8BWF7,UNFZG6Z8BWF7,ATLANTIC ICON  CORP.,"ATLANTIC ICON, CORP.",
1,FA302013D0013,0,0,DO Delivery Order,"$1,500.00 ",27-Sep-13,,5700,DEPT OF THE AIR FORCE,FA3020  82 CONS LGC,S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,SPRINGTOWN,TX,760822770,,,PCYUT68V6TW9,PCYUT68V6TW9,NAE IMPERIAL JV 2,NAE IMPERIAL JV 2,
1,FA441915D0105,0,0,DO Delivery Order,"$1,503.00 ",18-Sep-15,,5700,DEPT OF THE AIR FORCE,FA4419   97 CONF  CC,S,P400,SALVAGE- DEMOLITION OF BUILDINGS,238910,SITE PREPARATION CONTRACTORS,COLLINSVILLE,OK,740216247,,,UR7UZC69N353,UR7UZC69N353,MARLOW CONTRACTING SERVICES LLC,MARLOW CONTRACTING SERVICES LLC,
1,FA480114D0001,0,0,DO Delivery Order,$618.06 ,16-Sep-14,,5700,DEPT OF THE AIR FORCE,FA4801  49 CONS PK,S,Z1JZ,MAINTENANCE OF MISCELLANEOUS BUILDINGS,238320,PAINTING AND WALL COVERING CONTRACTORS,MINOT,ND,587012943,,,CJMNPF3RDN33,CJMNPF3RDN33,RFS  LLC,"RFS, LLC",
1,FA930113D0006,0,0,DO Delivery Order,"$101,384.52 ",25-Jan-13,,5700,DEPT OF THE AIR FORCE,FA9301  AFTC PZIO,S,S206,HOUSEKEEPING- GUARD,561612,SECURITY GUARDS AND PATROL SERVICES,IRVINE,CA,926182210,,,J5VMNYWNPM35,J5VMNYWNPM35,NORTHSTAR TECHNOLOGY CORP,NORTHSTAR TECHNOLOGY CORP,
1,H9821014D0001,0,0,DO Delivery Order,"$237,254.40 ",30-Sep-14,,9748,DEFENSE HUMAN RESOURCES ACTIVITY,DEFENSE HUMAN RESOURCES ACTIVITY,S,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MCLEAN,VA,221023373,,,GKWTAHYKMC62,GKWTAHYKMC62,Endyna  Inc.,"ENDYNA, INC.",
1,N4008512D4804,0,0,DO Delivery Order,"$88,013.00 ",16-Dec-11,,1700,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,S,Z2NE,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,238910,SITE PREPARATION CONTRACTORS,WORCESTER,MA,16103252,,,NEXBSWDG9MF1,NEXBSWDG9MF1,TANTARA ASSOCIATES CORPORATION,TANTARA ASSOCIATES CORPORATION,
1,N4008515D6102,0,0,DO Delivery Order,"$728,011.00 ",31-Mar-15,,1700,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,S,C223,ARCHITECT AND ENGINEERING- GENERAL: MECHANICAL SYSTEMS,541330,ENGINEERING SERVICES,PORTLAND,ME,41014389,,,LTH4MKJ4T6L7,LTH4MKJ4T6L7,JV CASCO BAY ENGINEERING-CLD CONSULTING ENGINEERS  LLC,"JV CASCO BAY ENGINEERING-CLD CONSULTING ENGINEERS, LLC",
1,N4008515D6121,0,0,DO Delivery Order,"$632,754.00 ",28-Aug-15,,1700,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,S,P400,SALVAGE- DEMOLITION OF BUILDINGS,238910,SITE PREPARATION CONTRACTORS,LEOMINSTER,MA,14537021,,,XN2TFGKCHQG6,XN2TFGKCHQG6,GVC CONSTRUCTION AND ENGINEERING  INC.,"GVC CONSTRUCTION AND ENGINEERING, INC.",
1,N6247314D2201,0,0,DO Delivery Order,"$5,000.00 ",17-Jul-14,,1700,DEPT OF THE NAVY,NAVFAC SOUTHWEST,S,Z2EZ,REPAIR OR ALTERATION OF OTHER INDUSTRIAL BUILDINGS,238160,ROOFING CONTRACTORS,GARDEN GROVE,CA,928433714,,,MLMVEKLJ7K28,MLMVEKLJ7K28,EXBON DEVELOPMENT  INC.,"EXBON DEVELOPMENT, INC.",
1,N6247315D4406,0,0,DO Delivery Order,"$5,000.00 ",23-Apr-15,,1700,DEPT OF THE NAVY,NAVFAC SOUTHWEST,S,Z2PZ,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,238330,FLOORING CONTRACTORS,WILLIAMS,CA,95987,,,MBE3ULFR8WA6,MBE3ULFR8WA6,B.C. SCHMIDT CONSTRUCTION  INC.,"B.C. SCHMIDT CONSTRUCTION, INC.",
1,N6247814D4047,0,0,DO Delivery Order,"$22,824.00 ",15-Sep-14,,1700,DEPT OF THE NAVY,NAVFAC ENGINEERING COMMAND HAWAII,S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,WAIPAHU,HI,967972371,,,JS6KL9LJTGF1,JS6KL9LJTGF1,NARITO SHEETMETAL & MECHANICAL CORPORATION,NARITO SHEETMETAL & MECHANICAL CORPORATION,
1,N6247814D4048,0,0,DO Delivery Order,"$5,000.00 ",15-Sep-14,,1700,DEPT OF THE NAVY,NAVFAC ENGINEERING COMMAND HAWAII,S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,SAN DIEGO,CA,921225962,,,GSGLJBC5LJK8,GSGLJBC5LJK8,RORE  INC.,"RORE, INC.",
1,N6247814D4049,0,0,DO Delivery Order,"$5,000.00 ",15-Sep-14,,1700,DEPT OF THE NAVY,NAVFAC ENGINEERING COMMAND HAWAII,S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,WILLIAMS,CA,95987,,,MBE3ULFR8WA6,MBE3ULFR8WA6,B.C. SCHMIDT CONSTRUCTION  INC.,"B.C. SCHMIDT CONSTRUCTION, INC.",
