Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"73351018C0003",,"0","0","DCA Definitive Contract","$16,411.19","Dec 1, 2017",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","511210","SOFTWARE PUBLISHERS","WINDSOR","CO","805505715","NONE","NONE OF THE ABOVE","S2LLK9JYGMJ4","S2LLK9JYGMJ4","COMMON SENSE & LOGIC LLC","CLEAR GLOBAL SOLUTIONS LLC","6CU05",
"73351018C0003",,"P00001","0","DCA Definitive Contract","$0.00","Apr 25, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","511210","SOFTWARE PUBLISHERS","WINDSOR","CO","805505715","NONE","NONE OF THE ABOVE","S2LLK9JYGMJ4","S2LLK9JYGMJ4","COMMON SENSE & LOGIC LLC","CLEAR GLOBAL SOLUTIONS LLC","6CU05",
"73351018C0003",,"P0001","0","DCA Definitive Contract","$0.00","Jan 9, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","511210","SOFTWARE PUBLISHERS","WINDSOR","CO","805505715","NONE","NONE OF THE ABOVE","S2LLK9JYGMJ4","S2LLK9JYGMJ4","COMMON SENSE & LOGIC LLC","CLEAR GLOBAL SOLUTIONS LLC","6CU05",
"73351018F0180","NNG15SD00B","0","0","DO Delivery Order","$44,029.77","Jul 3, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","541519","OTHER COMPUTER RELATED SERVICES","SAN DIEGO","CA","921105167","NONE","NONE OF THE ABOVE","MDC5LDZKQAM4","MDC5LDZKQAM4","BLUE TECH INC.","BLUE TECH INC.","0CL10",
"73351018P0026",,"0","0","PO Purchase Order","$908,943.50","Mar 23, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351018P0026",,"P00001","0","PO Purchase Order","$85,671.00","Dec 21, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351018P0026",,"P00002","0","PO Purchase Order","-$32,639.75","Jun 1, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351018P0026",,"P00003","0","PO Purchase Order","-$5,386.50","Jul 2, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351019D0010",,"0",0,"IDC Indefinite Delivery Contract","$0.00","Aug 9, 2019",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R499","SUPPORT- PROFESSIONAL: OTHER","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GREENBELT","MD","207701416","NONE","NONE OF THE ABOVE","YTF2AEMKU5V6","YTF2AEMKU5V6","COLEMAN GROUP  INC.  THE","COLEMAN GROUP, INC., THE","3TMY6",
"73351019D0010",,"P00001",0,"IDC Indefinite Delivery Contract","$0.00","Aug 27, 2019",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R499","SUPPORT- PROFESSIONAL: OTHER","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GREENBELT","MD","207701416","NONE","NONE OF THE ABOVE","YTF2AEMKU5V6","YTF2AEMKU5V6","COLEMAN GROUP  INC.  THE","COLEMAN GROUP, INC., THE","3TMY6",
